Computed,Computed sum,Measured forward,Measured backward,Measured forward sum,Measured backward sum
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-336.0,0.0,-336.0
5.0,5.0,0.0,-1016.0,0.0,-1352.0
10.0,15.0,0.0,-1689.0,0.0,-3041.0
25.0,40.0,-424.0,-2289.0,-424.0,-5330.0
40.0,80.0,-909.0,-3987.0,-1333.0,-9317.0
55.0,135.0,-1265.0,-3993.0,-2598.0,-13310.0
70.0,205.0,-1615.0,-5146.0,-4213.0,-18456.0
85.0,290.0,-2171.0,-5328.0,-6384.0,-23784.0
100.0,390.0,-2527.0,-5411.0,-8911.0,-29195.0
105.0,495.0,-3093.0,-5288.0,-12004.0,-34483.0
110.0,605.0,-3343.0,-5312.0,-15347.0,-39795.0
110.0,715.0,-3635.0,-5686.0,-18982.0,-45481.0
110.0,825.0,-3942.0,-5625.0,-22924.0,-51106.0
110.0,935.0,-4015.0,-5323.0,-26939.0,-56429.0
110.0,1045.0,-4205.0,-4887.0,-31144.0,-61316.0
110.0,1155.0,-4235.0,-4500.0,-35379.0,-65816.0
105.0,1260.0,-4112.0,-3990.0,-39491.0,-69806.0
100.0,1360.0,-4038.0,-2674.0,-43529.0,-72480.0
85.0,1445.0,-3960.0,-2568.0,-47489.0,-75048.0
70.0,1515.0,-3540.0,-2158.0,-51029.0,-77206.0
55.0,1570.0,-3303.0,-1600.0,-54332.0,-78806.0
40.0,1610.0,-3278.0,-868.0,-57610.0,-79674.0
25.0,1635.0,-2328.0,-542.0,-59938.0,-80216.0
10.0,1645.0,-1631.0,-264.0,-61569.0,-80480.0
5.0,1650.0,-1057.0,0.0,-62626.0,-80480.0
0.0,1650.0,-769.0,0.0,-63395.0,-80480.0
0.0,1650.0,-680.0,-273.0,-64075.0,-80753.0
0.0,1650.0,-538.0,-307.0,-64613.0,-81060.0
0.0,1650.0,-596.0,0.0,-65209.0,-81060.0
0.0,1650.0,-597.0,-264.0,-65806.0,-81324.0
0.0,1650.0,-515.0,-268.0,-66321.0,-81592.0
0.0,1650.0,-524.0,-286.0,-66845.0,-81878.0
0.0,1650.0,-444.0,0.0,-67289.0,-81878.0
0.0,1650.0,-510.0,-299.0,-67799.0,-82177.0
0.0,1650.0,-423.0,-291.0,-68222.0,-82468.0
0.0,1650.0,-469.0,-301.0,-68691.0,-82769.0
0.0,1650.0,-443.0,-311.0,-69134.0,-83080.0
0.0,1650.0,-441.0,-306.0,-69575.0,-83386.0
0.0,1650.0,-389.0,-334.0,-69964.0,-83720.0
0.0,1650.0,-440.0,-299.0,-70404.0,-84019.0
0.0,1650.0,-392.0,-327.0,-70796.0,-84346.0
5.0,1655.0,-375.0,0.0,-71171.0,-84346.0
0.0,1655.0,-390.0,-285.0,-71561.0,-84631.0
5.0,1660.0,-330.0,-274.0,-71891.0,-84905.0
0.0,1660.0,-363.0,0.0,-72254.0,-84905.0
0.0,1660.0,-356.0,-268.0,-72610.0,-85173.0
0.0,1660.0,-344.0,0.0,-72954.0,-85173.0
0.0,1660.0,-361.0,-305.0,-73315.0,-85478.0
0.0,1660.0,-365.0,0.0,-73680.0,-85478.0
0.0,1660.0,-335.0,-255.0,-74015.0,-85733.0
0.0,1660.0,-298.0,0.0,-74313.0,-85733.0
0.0,1660.0,-258.0,-256.0,-74571.0,-85989.0
0.0,1660.0,-391.0,-260.0,-74962.0,-86249.0
0.0,1660.0,-321.0,-313.0,-75283.0,-86562.0
0.0,1660.0,-277.0,-260.0,-75560.0,-86822.0
0.0,1660.0,-339.0,0.0,-75899.0,-86822.0
0.0,1660.0,-302.0,0.0,-76201.0,-86822.0
0.0,1660.0,-299.0,-261.0,-76500.0,-87083.0
0.0,1660.0,-337.0,-259.0,-76837.0,-87342.0
0.0,1660.0,0.0,-341.0,-76837.0,-87683.0
0.0,1660.0,0.0,0.0,-76837.0,-87683.0
0.0,1660.0,0.0,-268.0,-76837.0,-87951.0
0.0,1660.0,0.0,-257.0,-76837.0,-88208.0
0.0,1660.0,0.0,0.0,-76837.0,-88208.0
0.0,1660.0,0.0,0.0,-76837.0,-88208.0
0.0,1660.0,0.0,0.0,-76837.0,-88208.0
0.0,1660.0,0.0,0.0,-76837.0,-88208.0
0.0,1660.0,-303.0,0.0,-77140.0,-88208.0
0.0,1660.0,0.0,0.0,-77140.0,-88208.0
0.0,1660.0,0.0,0.0,-77140.0,-88208.0
0.0,1660.0,0.0,-271.0,-77140.0,-88479.0
0.0,1660.0,0.0,0.0,-77140.0,-88479.0
