Computed,Computed sum,Measured forward,Measured backward,Measured forward sum,Measured backward sum
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,0.0,-534.0,0.0,-534.0
10.0,15.0,0.0,-1258.0,0.0,-1792.0
25.0,40.0,-377.0,-2600.0,-377.0,-4392.0
40.0,80.0,-644.0,-3974.0,-1021.0,-8366.0
55.0,135.0,-1229.0,-3993.0,-2250.0,-12359.0
70.0,205.0,-1722.0,-5238.0,-3972.0,-17597.0
85.0,290.0,-2274.0,-5353.0,-6246.0,-22950.0
100.0,390.0,-2239.0,-5323.0,-8485.0,-28273.0
105.0,495.0,-3142.0,-5130.0,-11627.0,-33403.0
110.0,605.0,-3285.0,-5175.0,-14912.0,-38578.0
110.0,715.0,-3624.0,-5694.0,-18536.0,-44272.0
110.0,825.0,-4068.0,-5648.0,-22604.0,-49920.0
110.0,935.0,-4300.0,-5312.0,-26904.0,-55232.0
110.0,1045.0,-4358.0,-4716.0,-31262.0,-59948.0
110.0,1155.0,-4277.0,-4491.0,-35539.0,-64439.0
105.0,1260.0,-4178.0,-3758.0,-39717.0,-68197.0
100.0,1360.0,-4167.0,-3081.0,-43884.0,-71278.0
85.0,1445.0,-3850.0,-2534.0,-47734.0,-73812.0
70.0,1515.0,-3541.0,-2184.0,-51275.0,-75996.0
55.0,1570.0,-3253.0,-1449.0,-54528.0,-77445.0
40.0,1610.0,-3223.0,-942.0,-57751.0,-78387.0
25.0,1635.0,-2254.0,-567.0,-60005.0,-78954.0
10.0,1645.0,-1628.0,-250.0,-61633.0,-79204.0
5.0,1650.0,-1337.0,0.0,-62970.0,-79204.0
0.0,1650.0,-937.0,0.0,-63907.0,-79204.0
0.0,1650.0,-1105.0,0.0,-65012.0,-79204.0
0.0,1650.0,-573.0,0.0,-65585.0,-79204.0
0.0,1650.0,-474.0,-263.0,-66059.0,-79467.0
0.0,1650.0,-518.0,0.0,-66577.0,-79467.0
0.0,1650.0,-481.0,0.0,-67058.0,-79467.0
0.0,1650.0,-446.0,-226.0,-67504.0,-79693.0
0.0,1650.0,-444.0,0.0,-67948.0,-79693.0
0.0,1650.0,-441.0,0.0,-68389.0,-79693.0
0.0,1650.0,-433.0,0.0,-68822.0,-79693.0
0.0,1650.0,-344.0,0.0,-69166.0,-79693.0
0.0,1650.0,-360.0,0.0,-69526.0,-79693.0
0.0,1650.0,-365.0,0.0,-69891.0,-79693.0
0.0,1650.0,-345.0,0.0,-70236.0,-79693.0
0.0,1650.0,-349.0,-254.0,-70585.0,-79947.0
0.0,1650.0,-353.0,-251.0,-70938.0,-80198.0
5.0,1655.0,-387.0,0.0,-71325.0,-80198.0
0.0,1655.0,-292.0,-269.0,-71617.0,-80467.0
5.0,1660.0,-269.0,0.0,-71886.0,-80467.0
0.0,1660.0,-272.0,0.0,-72158.0,-80467.0
0.0,1660.0,-355.0,0.0,-72513.0,-80467.0
0.0,1660.0,0.0,0.0,-72513.0,-80467.0
0.0,1660.0,-266.0,0.0,-72779.0,-80467.0
0.0,1660.0,0.0,0.0,-72779.0,-80467.0
0.0,1660.0,-244.0,-253.0,-73023.0,-80720.0
0.0,1660.0,-318.0,0.0,-73341.0,-80720.0
0.0,1660.0,-268.0,-254.0,-73609.0,-80974.0
0.0,1660.0,-315.0,0.0,-73924.0,-80974.0
0.0,1660.0,-294.0,-231.0,-74218.0,-81205.0
0.0,1660.0,0.0,0.0,-74218.0,-81205.0
0.0,1660.0,-313.0,0.0,-74531.0,-81205.0
0.0,1660.0,-370.0,0.0,-74901.0,-81205.0
0.0,1660.0,-257.0,-226.0,-75158.0,-81431.0
0.0,1660.0,-297.0,0.0,-75455.0,-81431.0
0.0,1660.0,-243.0,0.0,-75698.0,-81431.0
0.0,1660.0,-227.0,0.0,-75925.0,-81431.0
0.0,1660.0,0.0,0.0,-75925.0,-81431.0
0.0,1660.0,-239.0,-248.0,-76164.0,-81679.0
0.0,1660.0,0.0,0.0,-76164.0,-81679.0
0.0,1660.0,-231.0,0.0,-76395.0,-81679.0
0.0,1660.0,0.0,0.0,-76395.0,-81679.0
0.0,1660.0,-231.0,0.0,-76626.0,-81679.0
0.0,1660.0,-229.0,0.0,-76855.0,-81679.0
0.0,1660.0,0.0,0.0,-76855.0,-81679.0
0.0,1660.0,0.0,0.0,-76855.0,-81679.0
0.0,1660.0,0.0,0.0,-76855.0,-81679.0
0.0,1660.0,-278.0,0.0,-77133.0,-81679.0
