Computed,Computed sum,Measured forward,Measured forward sum
0.0,58.0,468.8,125836.8
0.0,58.0,441.8,126278.6
0.0,58.0,478.8,126757.4
0.0,58.0,379.8,127137.2
0.0,58.0,471.8,127609.0
0.0,58.0,456.8,128065.8
0.0,58.0,414.8,128480.6
0.0,58.0,307.8,128788.4
0.0,58.0,342.8,129131.2
0.0,58.0,417.8,129549.0
0.0,58.0,353.8,129902.8
0.0,58.0,442.8,130345.6
0.0,58.0,436.8,130782.4
0.0,58.0,473.8,131256.2
0.0,58.0,330.8,131587.0
0.0,58.0,429.8,132016.8
0.0,58.0,409.8,132426.6
0.0,58.0,475.8,132902.4
0.0,58.0,418.8,133321.2
0.0,58.0,342.8,133664.0
0.0,58.0,316.8,133980.8
5.0,63.0,418.8,134399.6
