Computed,Computed sum,Measured forward,Measured backward,Measured forward sum,Measured backward sum
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-317.0,0.0,-317.0
5.0,5.0,0.0,-642.0,0.0,-959.0
10.0,15.0,0.0,-2348.0,0.0,-3307.0
25.0,40.0,-425.0,-3409.0,-425.0,-6716.0
40.0,80.0,-850.0,-3559.0,-1275.0,-10275.0
55.0,135.0,-1272.0,-4014.0,-2547.0,-14289.0
70.0,205.0,-1833.0,-4887.0,-4380.0,-19176.0
85.0,290.0,-1724.0,-5444.0,-6104.0,-24620.0
100.0,390.0,-2716.0,-5395.0,-8820.0,-30015.0
105.0,495.0,-2993.0,-5205.0,-11813.0,-35220.0
110.0,605.0,-3452.0,-5464.0,-15265.0,-40684.0
110.0,715.0,-3674.0,-6026.0,-18939.0,-46710.0
110.0,825.0,-3875.0,-5749.0,-22814.0,-52459.0
110.0,935.0,-4137.0,-5318.0,-26951.0,-57777.0
110.0,1045.0,-4368.0,-4956.0,-31319.0,-62733.0
110.0,1155.0,-4294.0,-4320.0,-35613.0,-67053.0
105.0,1260.0,-4431.0,-3840.0,-40044.0,-70893.0
100.0,1360.0,-4352.0,-3282.0,-44396.0,-74175.0
85.0,1445.0,-4149.0,-2133.0,-48545.0,-76308.0
70.0,1515.0,-4241.0,-2065.0,-52786.0,-78373.0
55.0,1570.0,-3370.0,-1455.0,-56156.0,-79828.0
40.0,1610.0,-2781.0,-990.0,-58937.0,-80818.0
25.0,1635.0,-2445.0,-558.0,-61382.0,-81376.0
10.0,1645.0,-1938.0,-267.0,-63320.0,-81643.0
5.0,1650.0,-1564.0,0.0,-64884.0,-81643.0
0.0,1650.0,-810.0,0.0,-65694.0,-81643.0
0.0,1650.0,-703.0,-285.0,-66397.0,-81928.0
0.0,1650.0,-591.0,0.0,-66988.0,-81928.0
0.0,1650.0,-593.0,0.0,-67581.0,-81928.0
0.0,1650.0,-512.0,0.0,-68093.0,-81928.0
0.0,1650.0,-482.0,0.0,-68575.0,-81928.0
0.0,1650.0,-414.0,0.0,-68989.0,-81928.0
0.0,1650.0,-438.0,0.0,-69427.0,-81928.0
0.0,1650.0,-341.0,0.0,-69768.0,-81928.0
0.0,1650.0,-451.0,0.0,-70219.0,-81928.0
0.0,1650.0,-300.0,0.0,-70519.0,-81928.0
0.0,1650.0,-354.0,0.0,-70873.0,-81928.0
0.0,1650.0,-347.0,0.0,-71220.0,-81928.0
0.0,1650.0,-360.0,0.0,-71580.0,-81928.0
0.0,1650.0,-372.0,0.0,-71952.0,-81928.0
0.0,1650.0,-317.0,-254.0,-72269.0,-82182.0
5.0,1655.0,-250.0,0.0,-72519.0,-82182.0
0.0,1655.0,-284.0,0.0,-72803.0,-82182.0
5.0,1660.0,-323.0,0.0,-73126.0,-82182.0
0.0,1660.0,-351.0,0.0,-73477.0,-82182.0
0.0,1660.0,-261.0,0.0,-73738.0,-82182.0
0.0,1660.0,-324.0,0.0,-74062.0,-82182.0
0.0,1660.0,-268.0,0.0,-74330.0,-82182.0
0.0,1660.0,0.0,0.0,-74330.0,-82182.0
0.0,1660.0,-272.0,0.0,-74602.0,-82182.0
0.0,1660.0,-302.0,0.0,-74904.0,-82182.0
0.0,1660.0,-323.0,0.0,-75227.0,-82182.0
0.0,1660.0,0.0,0.0,-75227.0,-82182.0
0.0,1660.0,0.0,0.0,-75227.0,-82182.0
0.0,1660.0,0.0,0.0,-75227.0,-82182.0
0.0,1660.0,-283.0,0.0,-75510.0,-82182.0
0.0,1660.0,0.0,0.0,-75510.0,-82182.0
0.0,1660.0,-273.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
0.0,1660.0,0.0,0.0,-75783.0,-82182.0
