Computed,Computed sum,Measured forward,Measured backward,Measured forward sum,Measured backward sum
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,0.0,-1504.0,0.0,-1504.0
10.0,15.0,0.0,-1468.0,0.0,-2972.0
25.0,40.0,-491.0,-2260.0,-491.0,-5232.0
40.0,80.0,-699.0,-3108.0,-1190.0,-8340.0
55.0,135.0,-1145.0,-4682.0,-2335.0,-13022.0
70.0,205.0,-1801.0,-4677.0,-4136.0,-17699.0
85.0,290.0,-2224.0,-5261.0,-6360.0,-22960.0
100.0,390.0,-2232.0,-5188.0,-8592.0,-28148.0
105.0,495.0,-2639.0,-5150.0,-11231.0,-33298.0
110.0,605.0,-3343.0,-5045.0,-14574.0,-38343.0
110.0,715.0,-3618.0,-5459.0,-18192.0,-43802.0
110.0,825.0,-3588.0,-5316.0,-21780.0,-49118.0
110.0,935.0,-4254.0,-5301.0,-26034.0,-54419.0
110.0,1045.0,-4206.0,-4783.0,-30240.0,-59202.0
110.0,1155.0,-4094.0,-4258.0,-34334.0,-63460.0
105.0,1260.0,-4148.0,-3812.0,-38482.0,-67272.0
100.0,1360.0,-4067.0,-3045.0,-42549.0,-70317.0
85.0,1445.0,-4035.0,-2589.0,-46584.0,-72906.0
70.0,1515.0,-3795.0,-2079.0,-50379.0,-74985.0
55.0,1570.0,-3466.0,-851.0,-53845.0,-75836.0
40.0,1610.0,-2810.0,-771.0,-56655.0,-76607.0
25.0,1635.0,-2769.0,-498.0,-59424.0,-77105.0
10.0,1645.0,-1704.0,0.0,-61128.0,-77105.0
5.0,1650.0,-885.0,0.0,-62013.0,-77105.0
0.0,1650.0,-482.0,0.0,-62495.0,-77105.0
0.0,1650.0,-559.0,0.0,-63054.0,-77105.0
0.0,1650.0,-537.0,0.0,-63591.0,-77105.0
0.0,1650.0,-506.0,0.0,-64097.0,-77105.0
0.0,1650.0,-545.0,0.0,-64642.0,-77105.0
0.0,1650.0,-466.0,0.0,-65108.0,-77105.0
0.0,1650.0,-523.0,0.0,-65631.0,-77105.0
0.0,1650.0,-371.0,0.0,-66002.0,-77105.0
0.0,1650.0,-402.0,0.0,-66404.0,-77105.0
0.0,1650.0,-474.0,-243.0,-66878.0,-77348.0
0.0,1650.0,-435.0,0.0,-67313.0,-77348.0
0.0,1650.0,-351.0,0.0,-67664.0,-77348.0
0.0,1650.0,-316.0,0.0,-67980.0,-77348.0
0.0,1650.0,-349.0,0.0,-68329.0,-77348.0
0.0,1650.0,-305.0,0.0,-68634.0,-77348.0
0.0,1650.0,-327.0,0.0,-68961.0,-77348.0
5.0,1655.0,-328.0,0.0,-69289.0,-77348.0
0.0,1655.0,-296.0,0.0,-69585.0,-77348.0
5.0,1660.0,-346.0,0.0,-69931.0,-77348.0
0.0,1660.0,-258.0,0.0,-70189.0,-77348.0
0.0,1660.0,-260.0,0.0,-70449.0,-77348.0
0.0,1660.0,-258.0,0.0,-70707.0,-77348.0
0.0,1660.0,-284.0,0.0,-70991.0,-77348.0
0.0,1660.0,-237.0,0.0,-71228.0,-77348.0
0.0,1660.0,0.0,0.0,-71228.0,-77348.0
0.0,1660.0,-241.0,0.0,-71469.0,-77348.0
0.0,1660.0,-262.0,0.0,-71731.0,-77348.0
0.0,1660.0,-291.0,0.0,-72022.0,-77348.0
0.0,1660.0,-294.0,0.0,-72316.0,-77348.0
0.0,1660.0,-238.0,0.0,-72554.0,-77348.0
0.0,1660.0,0.0,-245.0,-72554.0,-77593.0
0.0,1660.0,0.0,0.0,-72554.0,-77593.0
0.0,1660.0,-255.0,0.0,-72809.0,-77593.0
0.0,1660.0,0.0,0.0,-72809.0,-77593.0
0.0,1660.0,0.0,0.0,-72809.0,-77593.0
0.0,1660.0,0.0,0.0,-72809.0,-77593.0
0.0,1660.0,-270.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
0.0,1660.0,0.0,0.0,-73079.0,-77593.0
